Tab,variable 1,variable 2,variable 3,variable 4,variable 5
observation1,value1,value2,value3,value4,value5
observation2,value6,value7,value8,value9,value10
observation3,value11,value12,value13,value14,value15
observation4,value16,value17,value18,value19,value20
observation5,value21,value22,value23,value24,value25

"A variable is a quantity, quality, or property that you can measure",
"A value is the state of a variable when you measure it. The value of a variable may change from measurement to measurement",
"An observation is a set of measurements made under similar conditions",
"Tabular data is a set of values, each associated with a variable and an observation",

